name,job_url,hiring_firm,hiring_firm_url,job_function,title,date_posted,Location,Job type,Industry,Salary,details,info
Job Seekers,https://www.jobberman.com.gh,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh/job-seeker,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Job Seekers,https://www.jobberman.com.gh/job-seeker,Job Seekers,https://www.jobberman.com.gh/jobs?q=Job%20Seekers,,Job Seekers,,,Full Time,,,[],[]
Career,https://www.jobberman.com.gh/discover,Career Development,https://www.jobberman.com.gh/jobs?q=Career%20Development,,Career,,,Full Time,,,[],[]
Employers,https://www.jobberman.com.gh/employer,Skills Assessments,https://www.jobberman.com.gh/jobs?q=Skills%20Assessments,,Employers,,,Full Time,,,[],[]
Help Center,https://help-center.jobberman.com.gh/portal/en/home,Help Center,https://www.jobberman.com.gh/jobs?q=Help%20Center,,Help Center,,,Full Time,,,[],[]
Sign Up,https://www.jobberman.com.gh/account/login,Sign Up,https://www.jobberman.com.gh/jobs?q=Sign%20Up,,Sign Up,,,Full Time,,,[],[]
Vehicle Maintenance and Appearance Officer,https://www.jobberman.com.gh/listings/vehicle-maintenance-and-appearance-officer-k8j742,Vehicle Maintenance and Appearance Officer,https://www.jobberman.com.gh/jobs?q=Vehicle%20Maintenance%20and%20Appearance%20Officer,Job Function: Driver & Transport Services,Vehicle Maintenance and Appearance Officer,,Accra & Tema Region,Part Time,Driver & Transport Services,Confidential,[],[]
Vehicle Maintenance and Appearance Officer,https://www.jobberman.com.gh/listings/vehicle-maintenance-and-appearance-officer-k8j742,Vehicle Maintenance and Appearance Officer,https://www.jobberman.com.gh/jobs?q=Vehicle%20Maintenance%20and%20Appearance%20Officer,,Vehicle Maintenance and Appearance Officer,,,Full Time,,,[],[]
Marketing and Sales Officer,https://www.jobberman.com.gh/listings/marketing-and-sales-officer-gwxmn8,Marketing and Sales Officer,https://www.jobberman.com.gh/jobs?q=Marketing%20and%20Sales%20Officer,Job Function: Sales,Marketing and Sales Officer,,Accra & Tema Region,Full Time,Sales,Confidential,[],[]
Marketing and Sales Officer,https://www.jobberman.com.gh/listings/marketing-and-sales-officer-gwxmn8,Marketing and Sales Officer,https://www.jobberman.com.gh/jobs?q=Marketing%20and%20Sales%20Officer,,Marketing and Sales Officer,,,Full Time,,,[],[]
Security Officer,https://www.jobberman.com.gh/listings/security-officer-zpm8m9,Security Officer,https://www.jobberman.com.gh/jobs?q=Security%20Officer,Job Function: Health & Safety,Security Officer,,Accra & Tema Region,Full Time,Health & Safety,Confidential,[],[]
Security Officer,https://www.jobberman.com.gh/listings/security-officer-zpm8m9,Security Officer,https://www.jobberman.com.gh/jobs?q=Security%20Officer,,Security Officer,,,Full Time,,,[],[]
